Log_ID,Timestamp,Source_Dataset_ID,Operation,Field_Affected,Old_Value_or_Format,New_Value_or_Format,Reason,Performed_By
CL-01,2026-09-22T22:05,DS-MORTH-2024-CSV-02,Strip BOM,all columns,CSV with UTF-8 BOM,UTF-8 without BOM,csv.DictReader mis-reads first column name when BOM present (e.g. '﻿Year'),"Python open(..., encoding='utf-8-sig')"
CL-02,2026-09-22T22:05,DS-MORTH-2024-CSV-02,Parse Indian-comma integers,"Accidents, Fatalities, Persons Injured","'4,87,707' (string)",487707 (int),Indian numeric comma format (2-2-3 grouping) is not parseable by Python int() without stripping commas,"Python: int(str.replace(',', ''))"
CL-03,2026-09-22T22:05,DS-MORTH-2024-CSV-09,Identify Ladakh NA values,"Ladakh 2020 Accidents, Ladakh 2020 Killed",NA,Preserved as None — NOT converted to 0, Ladakh UT formed on 2019-10-31; data collection from 2021. Treating NA as 0 would falsely imply zero accidents in 2020.,Python parse_int() returns None for 'NA'
CL-04,2026-09-22T22:05,DS-MORTH-2024-CSV-09,Filter Total row,"row with State='Total,All India'",Total row interspersed in data,Total row filtered out before computing state sums,Including the Total row when summing state values would double-count,"Python: skip rows where State in ('Total', 'All India', 'Total,All India')"
CL-05,2026-09-22T22:05,DS-MORTH-2024-CSV-09,Footnote awareness — J&K#,State = 'J & K #','J & K #',Kept as-is in source CSV; noted in cleaning log,MoRTH footnote: '# includes Ladakh for 2019 and 2020' — J&K value pre-2021 includes Ladakh UT. Must be handled when comparing 2020 vs 2021+ for J&K specifically,Documented; not modified
CL-06,2026-09-22T22:05,DS-MORTH-2024-CSV-14,Parse '(P)' Provisional annotation,Road length column,"'6498 (P)' for 2021, '6593 (P)' for 2022","Stripped '(P)' → 6498, 6593",(P) = Provisional per MoRTH. Parse as integer.,Documented; not auto-converted
CL-07,2026-09-22T22:05,DS-MORTH-2024-CSV-03,Separate data rows from '% share' rows,Type of collision CSV (and similar),Alternating data rows and '% share' rows,To extract clean data: filter rows where first column contains '%',MoRTH/CSC IFMS publishes a row of data followed by a row of percentages — naive CSV reading treats both as data,Documented; downstream ETL must handle
CL-08,2026-09-22T22:05,DS-BTP-2018-2020,Strip trailing space in column header,'2020 - Fatal ' column,'2020 - Fatal ' (trailing space),'2020 - Fatal',MoRTH/CSC IFMS publishes CSV with trailing space in some headers,Documented; downstream ETL must strip
CL-09,2026-09-22T22:05,DS-BTP-2023,Filter sub-division Total rows,rows where Station contains 'Total',Interspersed Total rows,Filter rows where Station == 'Total' before computing station sums,2023 file structure has Zone + Sub-division + Station; sub-division total rows interspersed with station rows. Including Total rows in sum double-counts,Documented; downstream ETL must handle
CL-10,2026-09-22T22:05,DS-MORTH-2024-CSV-08,Note matrix layout,victims × crime-vehicle matrix,9×9 matrix layout,"For tidy analysis: melt matrix to long-form (victim_class, crime_vehicle_class, killed_count)",Matrix layout is human-readable but not analytics-ready,Documented; downstream ETL must reshape
CL-11,2026-09-22T22:05,DS-TN-DISTRICTWISE-2021-23,Handle MYILADUTHURAI 2021 = NA,MYILADUTHURAI 2021 accidents and deaths,NA,Preserve as None; do NOT convert to 0,Myiladuthurai district was formed 2020-12-28; TN Police did not collect separate data for it in 2021 (still part of Nagapattinam for accounting). 2022 onward has separate values. Treating 2021 as 0 would under-state accidents for the area.,Python parse_int() returns None
CL-12,2026-09-22T22:05,DS-MORTH-2024-CSV-11,Standardise city name spelling variations,"City column (varies: 'Vadodra' vs 'Vadodara', 'Khozikode' vs 'Kozhikode', 'Vijaywada city' vs 'Vijayawada', 'Vizaq' vs 'Visakhapatnam', 'Thiruvanthapuram' vs 'Thiruvananthapuram')",MoRTH 2024 variant spellings,Canonical spellings per state government,Cross-source joins (e.g. with state police reports) require canonical spellings,Documented; downstream ETL must standardise
CL-13,2026-09-22T22:05,DS-MORTH-2024-CSV-13,Note missing Sl No,Sl No column,Some rows have empty Sl No,—,"MoRTH source CSV has missing Sl No for some cities; cosmetic issue, not data issue",Documented
CL-14,2026-09-22T22:05,DS-MORTH-HIST-2018-2022,Cross-validate 2020-2022 values with 2024 report,"Accidents, Fatalities, Persons injured for 2020, 2021, 2022",—,All 9 overlapping year-value combinations MATCH exactly between historical 2018-2022 CSV and 2024 report CSV,Confirms historical CSV and current report CSV use consistent definitions,Python validation script — see VALIDATION_REPORT.csv Check 1
CL-15,2026-09-22T22:05,ALL MoRTH 2024 CSVs,Note: derived percentages not recomputed,% Change and % Share columns,MoRTH-published percentages,Preserved as-is from MoRTH,MoRTH computes % change relative to its own previous-year and total figures. Recomputing from our parsed integers may introduce rounding differences. Use MoRTH-published values for official reporting; recompute for internal QA only.,—
