Issue_ID,Dataset,Parameter,Problem,Severity,Evidence,Required_Action,Status
ISS-C01-F02,DS-IMD-GRIDDED-RAIN-NETCDF,F-02 (Daily Rainfall gridded),Parameter marked VERIFIED but underlying NetCDF file was NOT downloaded (server timed out). DATASET_REGISTER correctly marks Acquired=NO. Parameter overstates availability.,HIGH,PARAMETER_MASTER F-02 Verification='VERIFIED'; DATASET_REGISTER DS-IMD-GRIDDED-RAIN-NETCDF Acquired='NO'; file system: no NetCDF in imd_rainfall/ (only 404 HTML pages),"Downgrade F-02 Verification to 'PARTIALLY VERIFIED (URL only, file NOT downloaded)'; change Availability to 'AVAILABLE — INDIA LEVEL (URL verified, file NOT acquired)'. Cannot be used in analysis until file is downloaded.",OPEN
ISS-C06-IMD-GRIDDED,DS-IMD-GRIDDED-RAIN-NETCDF (Acquired=NO),F-02,"Source SRC-IMD-GRIDDED-RAIN-025 marked VERIFIED but the actual NetCDF file was NOT downloaded. URL was verified across 3 academic references (rpubs.com, ankitdeshmukh.com, github.com/cemac) but the dataset is not in our possession. DATASET_REGISTER correctly marks Acquired=NO.",HIGH,SOURCE_REGISTER SRC-IMD-GRIDDED-RAIN-025 Verification_Status='VERIFIED (URL confirmed across 3 academic references; download not completed due to network)'; DATASET_REGISTER DS-IMD-GRIDDED-RAIN-NETCDF Acquired='NO',"Downgrade SRC-IMD-GRIDDED-RAIN-025 Verification_Status to 'PARTIALLY VERIFIED (URL only, file not acquired)'.",OPEN
ISS-F01-MORTH-NCRB-DISCREPANCY,DS-MORTH-2024-CSV-02 vs DS-NCRB-2024-PDF-01,C-04 (Persons Killed 2024),"MoRTH 2024 = 177,175 road fatalities. NCRB ADSI 2024 = ~162,500 (per Hindustan Times reporting). Gap of ~14,675 (8.3%). NOTE: the NCRB figure (~162,500) is from secondary news reporting (Hindustan Times), NOT directly verified from the downloaded NCRB PDF. The PDF was downloaded but the actual figure was not extracted/confirmed. Per project brief: NEVER merge or average the two sources.",HIGH,"SOURCE_CONFLICTS CF-01; RESEARCH_COMPLETION_REPORT mentions both figures; Hindustan Times URL: https://www.hindustantimes.com/india-news/road-accident-deaths-increased-2-5-in-2024-from-2023-101710236193493.html (Jun 12, 2026)",(1) Retain both figures — never merge/average. (2) Mark NCRB figure as 'requires direct PDF verification' until Table 1A.2 PDF is extracted to confirm the actual 2024 NCRB road-deaths count. (3) Document that the 8.3% gap is explained by: (a) MoRTH uses 24-hour-from-crash police-registered convention; NCRB uses IPC-negligence classification (narrower scope); (c) different source systems (MoRTH from State Police via TLO; NCRB from Crime-CIB).,OPEN
ISS-J01-BLACKSPOT-NOT-DOWNLOADED,DS-MORTH-BLACKSPOT-NH (Acquired=NO),P-02 (Blackspot list) + P-03 (Blackspot coordinates),"DATASET_REGISTER correctly marks DS-MORTH-BLACKSPOT-NH as Acquired=NO. The 13,795 blackspot figure comes from Indian Express news reporting (Nov 3, 2025) on MoRTH data — NOT from a directly-downloaded MoRTH CSV. The Dataful.in mirror landing returned 404. No blackspot CSV or PDF is in our possession. Coordinates are NOT public.",HIGH,"DATASET_REGISTER DS-MORTH-BLACKSPOT-NH Acquired='NO'; file system: only blackspot_dataful_landing.html (144 bytes, 404 response) in 01_RAW_DATA/","Mark PARAMETER_MASTER P-02 as 'AVAILABLE — SELECTED LOCATIONS (LIST published via news; CSV NOT acquired)' and P-03 as 'NOT FOUND AFTER DEEP RESEARCH (coordinates never released publicly)'. For analytical use of blackspot locations, must acquire the actual CSV from NHAI/MoRTH or Dataful.in (account required).",OPEN
ISS-J02-eDAR-NOT-DOWNLOADED,DS-eDAR-iRAD (Acquired=NO),A-01 + A-02 + A-11 + P-01 (per-accident microdata),DATASET_REGISTER correctly marks DS-eDAR-iRAD as Acquired=NO. Portal URL (irad.parivahan.gov.in) is confirmed but access is restricted to police/highway authorities. No eDAR data is in our possession. The richest Indian accident dataset is NOT usable for open research.,HIGH,DATASET_REGISTER DS-eDAR-iRAD Acquired='NO'; file system: no eDAR data in 01_RAW_DATA/,"Mark parameters A-01, A-02, A-11, P-01, H-04 (vehicle age/defect), I-03 (driver experience) as 'REQUIRES FUTURE DATA ACQUISITION' — confirmed NOT ACQUIRED. These parameters cannot be used in any analysis without MoRTH MoU.",OPEN
ISS-L01-WEATHER-JOIN-REQUIRES-COORDINATES,DS-IMD-GRIDDED-RAIN-NETCDF + DS-MORTH-2024-CSV-09,F-02 (Daily Rainfall) + C-04 (Persons Killed by state),"JOIN of weather to accidents is INTEGRABLE in principle (spatial join IMD 0.25° grid to district centroid + temporal join on date) BUT two obstacles: (1) IMD file not downloaded; (2) accident data has NO coordinates (only state/district). For state-level analysis, can use state-centroid + month-avg rainfall — but this is a coarse approximation, not a true spatial join.",HIGH,PARAMETER_MASTER F-02 Joinability='INTEGRABLE (spatial join on grid cell)'; A-11 Coordinates='NOT FOUND AFTER DEEP RESEARCH',"For state-level seasonal/weather analysis: derive state-average monthly rainfall from IMD gridded data (after download); join to state-wise accident counts on (state, month). For district-level: derive district-average rainfall; join to TN district-wise accidents on (district, month). NOTE: month-wise accidents are ONLY available in NCRB Table 1A.5 PDF (not extracted). So this integration is INTEGRABLE but requires BOTH IMD download AND NCRB PDF extraction.",OPEN
ISS-O02-NAMING-REFERENTIAL-INTEGRITY,PARAMETER_MASTER.csv + DATASET_REGISTER.csv,All parameters with Source_Dataset_ID,"REFERENTIAL INTEGRITY FAILURE: PARAMETER_MASTER uses informal source IDs in Source_Dataset_ID field (e.g. 'MORTH-AR-2024-02', 'NCRB-ADSI-1A.5', 'BTP-Stationwise-2018-2023') that do NOT match the formal Dataset_IDs in DATASET_REGISTER (e.g. 'DS-MORTH-2024-CSV-02', 'DS-NCRB-2024-PDF-1A5-MONTH', 'DS-BTP-2018-2020'). This prevents programmatic cross-referencing.",HIGH,PARAMETER_MASTER A-07 Source_Dataset_ID='MORTH-AR-2024 / 2023' vs DATASET_REGISTER Dataset_ID='DS-MORTH-2024-CSV-09' / 'DS-MORTH-2023-CSV-set',"Either (a) update PARAMETER_MASTER Source_Dataset_ID to use formal Dataset_IDs from DATASET_REGISTER, OR (b) create a separate mapping table PARAMETER_TO_DATASET_MAP.csv. Without this, downstream analysis cannot programmatically resolve which file backs each parameter.",OPEN
ISS-O03-NCRB-PDF-EXTRACTION-PENDING,DS-NCRB-2024-PDF-1A5-MONTH + DS-NCRB-2024-PDF-1A6-TIME + DS-NCRB-2024-PDF-1A7-ROAD + DS-NCRB-2024-PDF-1A9-CAUSE + DS-NCRB-2024-PDF-12-AGEGENDER + DS-NCRB-2024-PDF-1A2 + DS-NCRB-2024-PDF-1A4 + DS-NCRB-2024-PDF-13-STATE-CITY,A-03 (Accident date month) + A-04 (Hour) + D-02 (Month) + D-04 (Hour) + G-01 (Road class) + I-02 (Driver age/gender) + J-02 (NCRB cause) + N-02 (FIR classification),"8 NCRB ADSI 2024 PDFs were downloaded but their table contents have NOT been machine-extracted. The parameters that depend on these PDFs (A-03, A-04, D-02, D-04, G-01, I-02, J-02, N-02) are marked PARTIALLY VERIFIED in PARAMETER_MASTER — this is honest, but the parameter values inside the PDFs are NOT yet usable for analysis. Camelot/Tabula extraction is required.",HIGH,DATASET_REGISTER entries for DS-NCRB-2024-PDF-* all marked Acquired=YES but Cleaning_Required='extract table via PDF parsing'; PDFs physically exist in 01_RAW_DATA/opencity_ncrb_adsi_2024/ (43 MB total),"In downstream phase: run Camelot or Tabula to extract tables from these 8 PDFs to CSV. Until extraction is done, mark these 8 parameters as 'PARTIALLY VERIFIED (PDF acquired, table values not extracted)' and DO NOT use in analytical models.",OPEN
ISS-B01-SRC-KARNATAKA-STATE-REPORT,—,—,Source has no traceable original URL: 'SRC-KARNATAKA-STATE-REPORT',MEDIUM,Source_URL field is empty,Add original URL for SRC-KARNATAKA-STATE-REPORT,OPEN
ISS-B01-SRC-TN-DISTRICTWISE,—,—,Source has no traceable original URL: 'SRC-TN-DISTRICTWISE',MEDIUM,Source_URL field is empty,Add original URL for SRC-TN-DISTRICTWISE,OPEN
